trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.8, 'e': 0.9966722160545233}",25,0,-117.63121263718854,"{0: 15, 1: 1, 2: 7, 3: 1, 4: 1}",0
2,False,"{'a': 0.8, 'e': 0.9933555062550344}",25,0,-158.38285187777834,"{0: 14, 1: 2, 2: 6, 3: 1, 4: 2}",0
3,False,"{'a': 0.8, 'e': 0.9900498337491681}",20,0,-184.104243048085,"{0: 9, 1: 2, 2: 6, 3: 0, 4: 3}",0
4,False,"{'a': 0.8, 'e': 0.9867551618071957}",35,0,-125.37147267681306,"{0: 16, 1: 11, 2: 7, 3: 1, 4: 0}",0
5,False,"{'a': 0.8, 'e': 0.9834714538216175}",30,0,-166.6826486525679,"{0: 21, 1: 1, 2: 3, 3: 2, 4: 3}",0
6,False,"{'a': 0.8, 'e': 0.9801986733067553}",25,0,-218.92526112542018,"{0: 10, 1: 3, 2: 7, 3: 3, 4: 2}",0
7,False,"{'a': 0.8, 'e': 0.9769367838983476}",25,0,-30.069107770124095,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 1}",0
8,False,"{'a': 0.8, 'e': 0.973685749353145}",25,0,-136.61714119930556,"{0: 14, 1: 3, 2: 6, 3: 0, 4: 2}",0
9,False,"{'a': 0.8, 'e': 0.9704455335485082}",20,0,-66.35715157540889,"{0: 9, 1: 7, 2: 4, 3: 0, 4: 0}",0
10,False,"{'a': 0.8, 'e': 0.9672161004820059}",25,0,-88.37536292228425,"{0: 13, 1: 3, 2: 9, 3: 0, 4: 0}",0
11,False,"{'a': 0.8, 'e': 0.9639974142710154}",20,0,-74.20948264371519,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
12,False,"{'a': 0.8, 'e': 0.9607894391523232}",30,0,-55.58627345496231,"{0: 23, 1: 4, 2: 2, 3: 0, 4: 1}",0
13,False,"{'a': 0.8, 'e': 0.9575921394817286}",25,0,-211.8199753730388,"{0: 13, 1: 4, 2: 3, 3: 1, 4: 4}",0
14,False,"{'a': 0.8, 'e': 0.9544054797336466}",25,0,-88.22724794073628,"{0: 17, 1: 4, 2: 1, 3: 2, 4: 1}",0
15,False,"{'a': 0.8, 'e': 0.951229424500714}",20,0,-88.4315164716909,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
16,False,"{'a': 0.8, 'e': 0.9480639384933955}",25,0,-89.85992556931411,"{0: 17, 1: 4, 2: 1, 3: 2, 4: 1}",0
17,False,"{'a': 0.8, 'e': 0.9449089865395918}",25,0,-23.191914654916566,"{0: 19, 1: 4, 2: 2, 3: 0, 4: 0}",0
18,False,"{'a': 0.8, 'e': 0.9417645335842487}",25,5,-2.1788991335854355,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",1
19,False,"{'a': 0.8, 'e': 0.9386305446889677}",35,0,-204.76591511522926,"{0: 20, 1: 5, 2: 6, 3: 1, 4: 3}",0
20,False,"{'a': 0.8, 'e': 0.9355069850316178}",20,0,-121.37619100749038,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 2}",0
21,False,"{'a': 0.8, 'e': 0.9323938199059483}",20,0,-91.33340677458906,"{0: 14, 1: 3, 2: 1, 3: 0, 4: 2}",0
22,False,"{'a': 0.8, 'e': 0.9292910147212036}",20,0,-111.59949078005992,"{0: 11, 1: 3, 2: 3, 3: 2, 4: 1}",0
23,False,"{'a': 0.8, 'e': 0.9261985350017385}",25,0,-192.0977365498026,"{0: 15, 1: 3, 2: 2, 3: 1, 4: 4}",0
24,False,"{'a': 0.8, 'e': 0.9231163463866358}",30,0,-50.47730898014577,"{0: 24, 1: 3, 2: 1, 3: 1, 4: 1}",0
