trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,-100,-573.3066019005596,"{0: 78, 1: 7, 2: 22, 3: 4, 4: 9}",0
2,False,"{'a': 0.5, 'e': 1.0}",25,-3,-106.9430758086118,"{0: 15, 1: 4, 2: 7, 3: 2, 4: 0}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,-47,-296.98753987163036,"{0: 43, 1: 9, 2: 9, 3: 1, 4: 5}",0
4,False,"{'a': 0.5, 'e': 1.0}",35,-100,-608.627439791512,"{0: 86, 1: 12, 2: 24, 3: 4, 4: 9}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,2,-88.44192851587627,"{0: 12, 1: 3, 2: 1, 3: 0, 4: 2}",1
6,False,"{'a': 0.5, 'e': 1.0}",25,-88,-445.34157649645425,"{0: 72, 1: 8, 2: 23, 3: 6, 4: 4}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,-100,-601.2718214071318,"{0: 77, 1: 6, 2: 24, 3: 4, 4: 9}",0
8,False,"{'a': 0.5, 'e': 1.0}",30,-3,-214.2439905815147,"{0: 14, 1: 8, 2: 6, 3: 3, 4: 2}",0
9,False,"{'a': 0.5, 'e': 1.0}",30,-100,-732.3977557690135,"{0: 75, 1: 12, 2: 28, 3: 5, 4: 10}",0
10,False,"{'a': 0.5, 'e': 1.0}",25,17,-12.696825958293378,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 0}",1
11,False,"{'a': 0.5, 'e': 1.0}",20,-100,-536.1315738027098,"{0: 73, 1: 13, 2: 25, 3: 2, 4: 7}",0
12,False,"{'a': 0.5, 'e': 1.0}",25,-100,-397.56855020199083,"{0: 83, 1: 15, 2: 18, 3: 5, 4: 4}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,10,-44.43338887618942,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 1}",1
14,False,"{'a': 0.5, 'e': 1.0}",30,-100,-746.9845811969733,"{0: 70, 1: 11, 2: 35, 3: 6, 4: 8}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,3,-60.47847295044322,"{0: 10, 1: 1, 2: 5, 3: 1, 4: 0}",1
16,False,"{'a': 0.5, 'e': 1.0}",20,-35,-239.41729809308893,"{0: 32, 1: 7, 2: 10, 3: 4, 4: 2}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,-100,-749.178057221751,"{0: 69, 1: 11, 2: 22, 3: 7, 4: 11}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,-23,-302.3985106624986,"{0: 25, 1: 4, 2: 8, 3: 0, 4: 6}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,-42,-218.95423409677244,"{0: 40, 1: 6, 2: 13, 3: 0, 4: 3}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,-53,-271.19678237541365,"{0: 45, 1: 6, 2: 19, 3: 0, 4: 3}",0
1,True,"{'a': 0.5, 'e': 1.0}",25,-55,-266.9540770723434,"{0: 52, 1: 13, 2: 9, 3: 3, 4: 3}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,14,-21.864016534548014,"{0: 4, 1: 0, 2: 1, 3: 1, 4: 0}",1
3,True,"{'a': 0.5, 'e': 1.0}",35,-100,-739.8064302519509,"{0: 83, 1: 9, 2: 22, 3: 12, 4: 9}",0
4,True,"{'a': 0.5, 'e': 1.0}",25,-47,-329.0893611171804,"{0: 43, 1: 12, 2: 10, 3: 2, 4: 5}",0
5,True,"{'a': 0.5, 'e': 1.0}",30,-48,-311.89017233379053,"{0: 54, 1: 10, 2: 6, 3: 2, 4: 6}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,-76,-522.5679023998752,"{0: 53, 1: 16, 2: 16, 3: 4, 4: 7}",0
7,True,"{'a': 0.5, 'e': 1.0}",25,13,-20.728729931292246,"{0: 8, 1: 1, 2: 3, 3: 0, 4: 0}",1
8,True,"{'a': 0.5, 'e': 1.0}",20,-6,-156.0138516193124,"{0: 15, 1: 3, 2: 4, 3: 2, 4: 2}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,-95,-679.2227636496158,"{0: 56, 1: 12, 2: 35, 3: 6, 4: 6}",0
10,True,"{'a': 0.5, 'e': 1.0}",30,-86,-356.5415636204846,"{0: 76, 1: 19, 2: 13, 3: 4, 4: 4}",0
